str_code;str_code_name
1110;Нематериальные активы
1120;Результаты исследований и разработок
1130;Нематериальные поисковые активы
1140;Материальные поисковые активы
1150;Основные средства
1160;Доходные вложения в материальные ценности
1170;Финансовые вложения
1180;Отложенные налоговые активы
1190;Прочие внеоборотные активы
1100;Итого по разделу 1 (Внеоборотные активы)
1210;Запасы
1220;Налог на добавленную стоимость по приобретенным ценностям
1230;Дебиторская задолженность
1240;Финансовые вложения (за исключением денежных эквивалентов)
1250;Денежные средства и денежные эквиваленты
1260;Прочие оборотные активы
1200;Итого по разделу 2 (Оборотные активы)
1600;БАЛАНС (Актив)
1310;Паевый фонд
1320;Целевой капитал
1340;Переоценка внеоборотных активов
1350;Целевые средства
1360;Фонд недвижимого и особо ценного движимого имущества
1370;Резервный и иные целевые фонды
1300;Итого по разделу 3 (Капитал и резервы / Целевое финансирование)
1410;Заемные средства
1420;Отложенные налоговые обязательства
1430;Оценочные обязательства
1450;Прочие обязательства
1400;Итого по разделу 4 (Долгосрочные обязательства)
1510;Заемные средства
1520;Кредиторская задолженность
1530;Доходы будущих периодов
1540;Оценочные обязательства
1550;Прочие обязательства
1500;Итого по разделу 5 (Краткосрочные обязательства)
1700;БАЛАНС (Пассив)
2110;Выручка
2120;Себестоимость продаж
2100;Валовая прибыль (убыток)
2210;Коммерческие расходы
2220;Управленческие расходы
2200;Прибыль (убыток) от продаж
2310;Доходы от участия в других организациях
2320;Проценты к получению
2330;Проценты к уплате
2340;Прочие доходы
2350;Прочие расходы
2300;Прибыль (убыток) до налогообложения
2410;Налог на прибыль
2411;Текущий налог на прибыль
2412;Отложенный налог на прибыль
2460;Прочее
2400;Чистая прибыль (убыток)
2510;Результат от переоценки внеоборотных активов, не включаемый в чистую прибыль (убыток) периода
2520;Результат от прочих операций, не включаемый в чистую прибыль (убыток) периода
2530;Налог на прибыль от операций, результат которых не включается в чистую прибыль (убыток) периода
2500;Совокупный финансовый результат периода
2900;Базовая прибыль (убыток) на акцию
2910;Разводненная прибыль (убыток) на акцию
2410*;Текущий налог на прибыль
2421;Постоянные налоговые обязательства (активы)
2430;Изменение отложенных налоговых обязательств
2450;Изменение отложенных налоговых активов
6100;Остаток средств на начало отчетного года
6210;Вступительные взносы
6215;Членские взносы
6220;Целевые взносы
6230;Добровольные имущественные взносы и пожертвования
6240;Прибыль от приносящей доход деятельности организации
6250;Прочие
6200;Всего поступило средств
6310;Расходы на целевые мероприятия
6311;Социальная и благотворительная помощь
6312;Проведение конференций, совещаний, семинаров и т.п.
6313;Иные мероприятия
6320;Расходы на содержание аппарата управления
6321;Расходы, связанные с оплатой труда (включая начисления)
6322;Выплаты, не связанные с оплатой труда
6323;Расходы на служебные командировки и деловые поездки
6324;Содержание помещений, зданий, автомобильного транспорта и иного имущества (кроме ремонта)
6325;Ремонт основных средств и иного имущества
6326;Прочие
6330;Приобретение основных средств, инвентаря и иного имущества
6350;Прочие
6300;Всего использовано средств
6400;Остаток средств на конец отчетного года
3100;Величина капитала на 31 декабря N-2 года
3210;Увеличение капитала - всего:
3211;Чистая прибыль
3212;Переоценка имущества
3213;Доходы, относящиеся непосредственно на увеличение капитала          
3214;Дополнительный выпуск акций
3215;Увеличение номинальной стоимости акций
3216;Реорганизация юридического лица
3220;Уменьшение капитала - всего:
3221;Убыток
3222;Переоценка имущества
3223;Расходы, относящиеся непосредственно на уменьшение капитала             
3224;Уменьшение номинальной стоимости акций
3225;Уменьшение количества акций
3226;Реорганизация юридического лица
3227;Дивиденды
3230;Изменение добавочного капитала
3240;Изменение резервного капитала
3200;Величина капитала на 31 декабря N-1 года
3310;Увеличение капитала - всего:
3311;Чистая прибыль
3312;Переоценка имущества
3313;Доходы, относящиеся непосредственно на увеличение капитала
3314;Дополнительный выпуск акций
3315;Увеличение номинальной стоимости акций
3316;Реорганизация юридического лица
3320;Уменьшение капитала - всего:
3321;Убыток
3322;Переоценка имущества
3323;Расходы, относящиеся непосредственно на уменьшение капитала
3324;Уменьшение номинальной стоимости акций
3325;Уменьшение количества акций
3326;Реорганизация юридического лица
3327;Дивиденды
3330;Изменение добавочного капитала
3340;Изменение резервного капитала
3300;Величина капитала на 31 декабря N года
3400;Капитал всего до корректировок
3410;Капитал всего корректировка в связи с изменением учетной политики
3420;Капитал всего с исправлением ошибок
3500;Капитал всего после корректировок
3401;Нераспределенная прибыль (непокрытый убыток) до корректировок
3411;Нераспределенная прибыль корректировка в связи с изменением учетной политики
3421;Нераспределенная прибыль исправлением ошибок
3501;Нераспределенная прибыль после корректировок
3402;По другим статьям капитала до корректировок
3412;По другим статьям капитала корректировка в связи с изменением учетной политики
3422;По другим статьям капитала с исправлением ошибок
3502;По другим статьям капитала после корректировок
3600;Чистые активы
4110;Поступления - всего
4111;От продажи продукции, товаров, работ и услуг
4112;Арендных платежей, лицензионных платежей, роялти, комиссионных и иных аналогичных платежей
4113;От перепродажи финансовых вложений
4119;Прочие поступления
4120;Платежи - всего
4121;Поставщикам (подрядчикам) за сырье, материалы, работы, услуги
4122;В связи с оплатой труда работников
4123;Процентов по долговым обязательствам
4124;Налог на прибыль организаций
(4124);Налог на прибыль организаций
4129;Прочие платежи
4100;Сальдо денежных потоков от текущих операций
4210;Поступления - всего
4211;От продажи внеоборотных активов (кроме финансовых вложений)
4212;От продажи акций других организаций (долей участия)
4213;От возврата предоставленных займов, от продажи долговых ценных бумаг (прав требования денежных средств к другим лицам)
4214;Дивидендов, процентов по долговым финансовым вложениям и аналогичных поступлений от долевого участия в других организациях
4219;Прочие поступления
4220;Платежи - всего
4221;В связи с приобретением, созданием, модернизацией, реконструкцией и подготовкой к использованию внеоборотных активов
4222;в связи с приобретением акций других организаций (долей участия)
4223;в связи с приобретением долговых ценных бумаг (прав требования денежных средств к другим лицам), предоставление займов другим лицам
4224;Процентов по долговым обязательствам, включаемым в стоимость инвестиционного актива
(4224);Процентов по долговым обязательствам, включаемым в стоимость инвестиционного актива
4229;Прочие платежи
4200;Сальдо денежных потоков от инвестиционных операций
4310;Поступления - всего
4311;Получение кредитов и займов
4312;Денежных вкладов собственников (участников)
4313;От выпуска акций, увеличения долей участия                                        
4314;От выпуска облигаций, векселей и других долговых ценных бумаг и др.                                           
4319;Прочие поступления
4320;Платежи - всего
4321;Собственникам (участникам) в связи с выкупом у них акций (долей участия) организации или их выходом из состава участников
4322;На уплату дивидендов и иных платежей по распределению прибыли в пользу собственников (участников)
4323;В связи с погашением (выкупом) векселей и других долговых ценных бумаг, возврат кредитов и займов
(4323);В связи с погашением (выкупом) векселей и других долговых ценных бумаг, возврат кредитов и займов
4329;Прочие платежи
4300;Сальдо денежных потоков от финансовых операций
4400;Сальдо денежных потоков за отчетный период
4450;Остаток денежных средств и денежных эквивалентов на начало отчетного периода
4500;Остаток денежных средств и денежных эквивалентов на конец отчетного периода
4490;Величина влияния изменений курса иностранной валюты по отношению к рублю
